x0,x1,x2,y
47,16,78,1
29,49,98,1
50,17,42,1
96,87,89,1
66,94,59,-1
30,52,68,-1
20,82,1,-1
80,73,92,1
54,71,37,-1
63,85,66,-1
77,5,42,1
12,33,46,-1
46,91,54,-1
52,98,79,-1
94,63,42,1
44,70,97,-1
43,9,35,1
45,51,34,-1
36,29,64,1
51,43,42,1
68,17,24,1
84,29,83,1
76,69,26,-1
41,78,74,-1
53,42,64,1
55,20,21,1
55,5,53,1
28,55,19,-1
93,39,15,1
88,75,62,1
30,84,20,-1
36,44,13,-1
87,68,15,-1
83,63,87,1
36,46,26,-1
20,31,20,-1
54,84,57,-1
86,46,40,1
15,23,10,-1
92,2,86,1
83,41,69,1
54,33,19,1
38,100,9,-1
69,65,12,-1
72,63,31,-1
85,90,98,-1
46,81,88,-1
32,79,13,-1
84,83,65,-1
29,49,21,-1
41,6,48,1
72,6,82,1
100,6,24,1
17,72,95,-1
6,22,20,-1
6,7,44,1
11,49,91,-1
83,51,40,1
87,17,37,1
4,89,88,-1
86,75,3,-1
40,70,14,-1
1,31,78,1
36,14,55,1
41,27,45,1
61,54,55,1
39,82,95,-1
96,33,61,1
46,65,38,-1
71,72,35,-1
55,41,8,-1
77,38,97,1
12,26,58,1
17,41,75,-1
11,24,33,-1
32,89,87,-1
75,72,20,-1
28,16,62,1
97,84,36,-1
23,95,30,-1
74,19,74,1
3,51,9,-1
32,70,35,-1
44,23,48,1
73,40,5,1
66,59,53,-1
15,90,43,-1
54,44,35,-1
42,39,44,1
88,19,65,1
54,84,67,-1
10,96,26,-1
54,9,82,1
65,24,92,1
96,98,41,-1
49,75,82,-1
79,57,22,-1
15,46,90,-1
3,83,2,-1
67,92,14,-1
3,91,35,-1
77,59,90,1
71,13,32,1
8,33,41,-1
16,50,54,-1
59,26,9,1
38,94,18,-1
90,30,50,1
75,64,52,-1
13,48,74,-1
16,80,63,-1
41,32,89,1
44,56,66,-1
63,40,75,1
93,56,27,1
10,92,60,-1
20,37,4,-1
78,78,82,1
24,17,33,1
50,53,50,-1
56,62,33,-1
47,53,91,1
4,95,70,-1
53,46,43,-1
96,0,60,1
3,91,27,-1
81,34,27,1
15,58,92,-1
65,10,7,1
98,77,51,-1
70,65,41,-1
11,30,91,1
92,95,13,-1
84,17,98,1
38,17,100,1
74,60,64,1
42,41,42,-1
82,100,51,-1
78,96,97,-1
58,64,25,-1
28,12,79,1
51,25,6,1
99,74,39,-1
57,85,13,-1
16,67,80,-1
9,56,84,-1
18,9,94,1
20,96,33,-1
81,13,53,1
76,60,78,1
32,42,61,-1
68,46,72,1
33,12,4,1
33,42,79,1
80,28,12,1
61,25,87,1
57,8,22,1
22,21,17,-1
15,6,81,1
9,1,38,1
39,50,67,-1
75,57,20,-1
49,86,88,-1
54,86,39,-1
80,20,1,1
27,10,64,1
87,80,47,-1
2,12,5,-1
35,7,36,1
77,5,47,1
98,7,68,1
14,13,32,1
93,92,90,-1
26,11,84,1
14,5,14,1
12,66,85,-1
66,96,73,-1
83,85,81,-1
94,24,82,1
0,69,75,-1
2,85,28,-1
25,93,51,-1
84,51,89,1
19,14,95,1
38,97,66,-1
47,87,24,-1
40,98,72,-1
64,53,55,1
100,23,50,1
94,76,64,1
6,54,22,-1
79,75,16,-1
65,57,55,1
49,7,90,1
76,9,62,1
21,15,13,1
39,14,39,1
25,48,37,-1
76,89,27,-1
23,59,92,-1
81,3,90,1
6,67,60,-1
27,57,65,-1
30,87,4,-1
81,43,77,1
48,22,87,1
76,56,55,1
55,36,88,1
79,16,5,1
34,74,100,-1
34,24,89,1
85,78,25,-1
82,48,12,1
76,59,56,1
24,81,7,-1
7,27,69,1
39,8,95,1
36,24,31,1
76,41,45,1
69,72,64,-1
18,50,63,-1
63,36,80,1
6,23,23,-1
35,48,55,-1
46,68,1,-1
75,77,92,1
16,0,77,1
55,12,5,1
88,78,48,-1
53,43,4,-1
69,98,38,-1
15,81,69,-1
4,89,41,-1
40,62,66,-1
10,87,78,-1
16,15,54,1
84,54,60,1
20,61,66,-1
93,6,4,1
12,47,42,-1
70,42,84,1
100,49,68,1
79,39,5,1
68,16,48,1
49,77,76,-1
25,1,89,1
98,76,65,1
58,31,9,1
79,2,56,1
59,23,5,1
44,84,88,-1
8,38,83,-1
