A,B,C,D,E,F,Z
9.276592587,8.599407772,4.75644248,7.6773647,3.564096428,3.626787728,6
5.713526144,7.198574305,9.501642582,9.125857475,5.412421773,5.471335383,6
6.999076821,9.366186611,0.755392748,8.320999566,1.976898311,1.126686148,6
9.355448057,7.687441843,7.607832633,8.474102572,7.534375895,2.252881103,6
4.166477967,3.804017416,9.700272388,7.682118114,9.212030416,9.900886402,6
0.531766044,8.38735462,3.943472934,7.642278395,5.386484481,2.433599376,6
8.204015853,4.201423653,5.186346805,0.615040384,0.952500081,2.094711167,1
2.042044473,3.998778015,6.053768301,2.327611537,5.820012396,3.594189388,1
6.393098839,5.215618775,1.729802763,0.403766061,4.025987162,7.517298355,1
8.350639103,9.14995315,8.006896357,4.618843492,3.594236985,5.733146533,3
7.989225963,2.020487361,0.179233052,6.0709241,5.211448266,1.536343303,6
8.4060013,9.522800756,5.685298794,3.953375448,7.805335002,8.453926595,3
4.41504669,0.315763169,6.40756806,0.64393236,5.998101444,6.667868972,1
8.212509439,1.273009726,9.677039411,5.122262455,7.735661771,3.217265126,4
9.392518328,6.505419463,4.068645231,8.885561814,5.03677518,4.902851366,6
7.303941666,5.349919092,4.46263951,5.020518772,2.841397822,4.085192053,4
5.995536652,7.895825027,1.814393141,4.901832365,7.463796511,8.501840695,4
0.677666396,3.882227493,5.280845565,4.108402807,7.937422801,2.102213039,3
5.493498839,1.252802192,5.830922984,9.408585158,7.527701543,1.58571462,6
5.224286101,9.294135106,7.276815194,0.909646857,7.797776064,7.86657308,1
8.812322768,3.455519626,9.815386087,1.362472648,2.991867469,8.359091979,1
3.084537046,5.992340886,4.594288507,8.075407809,9.85225218,8.193030636,6
0.494647526,9.010467666,4.588784664,3.904338809,6.525194894,7.741615955,3
6.064785076,9.263442455,0.369275196,5.931370853,3.895369663,5.805942981,6
7.615851087,6.438637819,7.905672401,5.597913294,6.276089272,1.162095839,5
4.739989887,5.066880739,5.629264006,1.265050871,8.078649883,0.473111522,1
0.013406786,3.55199036,3.043284719,8.039999627,4.779889365,7.160821015,6
6.70172468,0.877167378,5.561474782,3.603646082,6.583909246,1.740839989,2
4.031702456,0.344964178,7.597492826,3.994504494,7.225619285,0.571277761,2
3.779119787,7.668932903,4.105605975,8.656103107,5.159381531,2.7530498,6
8.982961958,8.985765443,3.398593309,0.517015144,2.772090379,8.654988959,1
3.505426548,5.763242365,1.952028456,6.224344162,9.09023749,9.172897627,6
2.478964615,3.849821886,0.423342004,5.373466646,7.06843576,2.14787735,5
1.400696181,8.639062817,2.974737443,9.294461518,6.591117516,9.780878603,6
6.121503627,8.3345391,2.768851513,6.53867657,7.54519177,1.556822944,6
7.959174996,3.68311225,4.026330714,6.768999848,3.639337145,5.392432685,6
2.097994371,3.8865898,7.617540397,5.138236944,3.520505681,4.585304316,4
5.638791845,9.962085702,2.601229665,2.521936794,8.194954386,4.272852674,2
2.327647256,2.935294291,2.345395469,3.278011548,4.038685413,1.774460552,1
2.909990844,6.568312889,4.343184806,7.478281232,0.207642,8.687662016,6
1.039953707,0.558660708,0.264844827,8.800926149,9.546134282,8.798451184,6
9.147745158,9.216956856,8.536497253,3.714418103,5.613260116,2.496479531,2
0.516551471,4.199646901,5.678803941,0.116563012,8.751100961,1.847129438,1
4.199461757,2.850915079,5.693436442,5.871690016,1.498331377,0.899856353,6
3.854256045,3.526136921,6.93261132,9.19136993,5.130395521,1.751915827,6
1.349479697,5.868238369,6.585305799,4.738776342,7.302968604,0.347695461,4
9.962948621,7.604849862,8.028115305,0.117747131,4.332888756,2.064185215,1
0.120647753,0.049257685,4.413890185,1.235919252,6.129022421,3.660888628,1
7.062886008,6.188812867,2.65165587,3.494346451,3.135614473,9.073139617,2
9.897860094,4.028961827,3.965523282,9.006461159,0.80908723,4.267219891,6
9.472072672,8.068771777,3.850121891,0.722768268,9.990149866,7.908771383,1
9.224965248,3.493745847,8.262091398,4.513306017,3.933500625,2.93255168,3
3.642555095,1.878767393,3.520681758,1.348703161,7.653151675,1.015682857,1
5.724950777,8.558963612,1.291508888,6.183656097,1.602495109,7.791267878,6
9.175818805,3.770165458,2.723866888,7.424321792,0.547033182,6.748439113,6
6.221446602,8.510326039,4.533666628,3.694761442,7.823614182,2.420647591,2
1.61295606,6.345578448,9.286872415,3.328338541,6.000371973,3.310826346,2
5.133270695,8.281049413,7.333059505,6.439398952,5.36166488,1.980484704,6
4.977549559,8.579878005,6.567966132,9.448074024,4.802692258,6.577967798,6
5.327067223,9.422369944,3.500787986,5.785452409,0.97102316,4.847291618,6
3.389521557,0.545518682,7.68270383,8.034349728,9.780822143,2.696453863,6
8.00903565,9.683781489,9.117645099,0.388770081,9.936669744,2.542250749,1
9.11885006,8.441596167,7.308775394,8.340952054,9.331612043,6.388722259,6
0.023063341,7.947205402,7.733581577,9.237886927,5.912485467,1.592704145,6
5.396753187,0.678436864,7.99893219,7.389150604,2.423140047,2.252283072,6
1.644019424,1.072813221,6.229985824,0.528673678,7.421420934,4.331324481,1
4.774783609,2.240662971,9.364090452,3.177436442,4.190705343,8.122438178,1
4.719194488,9.080249454,7.279239441,3.495505498,1.576214995,6.313721277,2
6.97973412,2.671084769,1.99595675,6.174789194,6.852315386,5.020299088,6
7.827582164,1.909244206,0.029080609,2.587648699,1.077571309,9.512580871,1
6.690862583,0.063122142,4.996267417,6.177293272,2.656133341,8.990461547,6
9.382143697,6.357743124,3.80467318,4.653043544,2.258983815,4.447510375,3
3.837281479,3.72547529,1.835966539,7.198693789,4.283758371,1.41444886,6
7.378011384,5.983758086,9.997064345,4.573019355,3.845940942,3.796206286,3
7.73729841,9.781815915,1.170356261,4.634458539,8.213127077,3.915012489,4
2.24001235,5.91358565,6.786000123,2.925217126,8.360785294,2.078338042,2
5.453239607,0.715340609,5.333155459,5.689785869,5.999412611,2.549700492,5
4.018434916,0.166803341,1.397649067,3.113699561,1.567265477,1.670412672,1
2.403852571,5.643676357,6.877765926,2.902284687,3.26991883,7.357816399,1
4.317925114,3.284952018,6.988342122,7.932694116,0.479945059,4.829069339,6
5.901676742,4.178714043,6.911921552,7.477733678,2.412590518,6.67055204,6
8.500761435,8.464586433,3.524751781,4.899402884,4.339788581,3.616871386,4
7.720893025,8.335533876,7.903931554,0.522213232,1.817956746,4.996011058,1
4.410929701,4.612565603,0.948513554,5.008738913,4.356580677,5.134503392,4
0.229422527,6.296567939,1.743965856,6.906702561,3.807871265,6.988821651,6
0.25121686,2.434196241,1.88225967,8.999173531,5.579583039,6.697291086,6
0.971855454,1.206853143,6.212180228,2.279875743,9.241018086,3.418741749,1
1.395683222,2.62633449,8.556712927,5.539464491,1.161443936,9.017535613,5
9.431140053,6.420711725,8.335874526,9.285157509,0.654234178,1.510369501,6
0.760929315,4.319996814,7.796277909,5.036227092,2.035132995,3.989371916,4
5.208578996,1.746001365,7.633264518,7.558339791,6.657604389,2.171769553,6
3.228130144,7.791564572,9.757706136,5.219662595,4.21126411,8.211695045,4
4.670372811,8.752788735,2.53064261,6.338553801,8.405779296,8.785949635,6
0.879508368,5.232959718,9.793616977,8.023072359,8.588841955,6.121236478,6
2.341171175,9.476006759,9.999939942,7.29267776,2.223152523,6.018339495,6
5.749523395,2.85758374,1.340694597,2.438751101,5.081984025,1.304305667,1
4.496938512,2.308636924,7.152723979,0.415460186,3.967828503,4.595904817,1
2.631979414,7.019839144,7.022036636,7.943239451,9.533642167,3.911959691,6
3.005203888,1.633152166,6.227959301,4.304234263,9.059724263,6.796511244,3
3.664800931,3.567447117,4.29843482,6.377995229,7.171783347,7.368448701,6
7.301566934,3.52284452,5.035661707,6.272900641,1.614402312,7.430949193,6
9.898637107,2.318406041,8.07299988,5.048512871,3.088822848,5.25707434,4
7.109579989,0.828876932,2.979552678,2.681943433,9.715383871,2.622862312,1
2.473374223,1.980801327,9.711358167,0.061332641,2.131871612,3.43544628,1
5.391029465,6.011249366,9.39221156,6.132933244,7.73670966,3.062741057,6
6.744526203,4.964685971,8.432622028,3.147029705,8.356807785,6.004892101,2
2.258334081,7.547468817,3.551199157,1.273354949,8.779702011,0.105146222,1
4.324815364,0.12698654,1.05134191,7.187437867,7.1959334,3.169764071,6
9.815493607,5.730097732,1.74279634,5.043014645,5.759762717,5.686058314,4
7.027153381,0.348837526,5.797430321,7.410171587,8.812464198,2.578675748,6
4.326764001,7.558931826,2.880941943,1.720571839,6.398981455,6.894729735,1
9.970964287,3.370189118,0.555676243,3.834236538,4.640568938,1.249274242,2
4.919719354,8.012700545,0.269190514,0.560075804,9.152455388,8.205834373,1
1.093852034,3.029667231,7.23455941,3.055949639,9.595083735,9.198138747,2
7.171075103,2.928196837,9.376859555,1.256676679,4.87873807,0.357368665,1
0.406362144,4.201849197,9.98633811,8.784501907,9.489836976,8.905451732,6
4.044475294,5.428516277,8.878854777,6.844067604,2.827570186,7.317777659,6
2.212009688,2.029907449,9.939928285,7.423721393,7.144734312,5.824977792,6
3.798155699,0.280690309,3.370878704,7.221797112,3.936218425,5.533343165,6
2.176554176,7.443386689,5.783247338,2.047470275,6.194321044,1.785968254,1
1.068571101,5.10194834,1.138313271,4.042041893,4.626665399,0.217757724,2
9.911057032,2.521870225,8.008144306,7.353343467,1.556176687,2.343673104,6
6.607295824,2.586003294,1.796435496,3.014585269,5.127638082,6.200786314,1
6.034632227,7.343984208,0.734825818,7.138828794,2.961164679,4.543929223,6
8.115378236,6.646701634,1.860104892,9.959281233,2.27487034,1.322755868,6
5.973078154,1.367370739,3.02607685,9.605835291,2.436987967,2.401415031,6
1.466466506,9.651897357,5.456485701,9.150563111,4.408167428,4.930928081,6
1.556444633,5.57557302,5.458361338,2.499170956,0.733815217,4.927969551,1
1.549086449,9.313214153,9.79185896,6.228411733,6.40280996,2.733679846,6
5.910918933,5.838819368,8.321658249,4.066015887,2.24972085,3.832850555,2
6.944587465,2.382212925,8.94906683,1.6664276,1.425784367,3.676611414,1
1.64040272,6.320676127,3.037942947,1.302443005,8.503054511,8.305166775,1
7.369487229,4.033085313,6.332735249,9.840969772,4.40532139,6.042885416,6
2.482101081,1.518445749,8.809986465,2.630748138,7.347785159,2.775990923,1
2.576811695,1.378637131,2.963172268,2.692625666,7.206621077,1.817061119,1
8.606075213,4.558120167,7.148756444,0.383119723,0.839002385,2.499871514,1
9.244375195,8.754927657,2.741570148,3.952705218,2.217384383,5.418920224,2
7.100513007,5.644272163,6.507446943,9.736505746,4.372476576,0.026751158,6
6.63305425,5.418858415,4.040118865,1.4581634,1.064591107,4.330663236,1
4.248709576,0.796493064,9.263109736,0.282968424,9.135962674,4.696228097,1
6.759840195,2.528609865,2.094665942,2.981197241,1.937597117,5.006506328,1
0.453895679,8.696358929,0.18449894,6.118607064,0.290636718,3.643280122,6
0.390693038,9.956108114,7.566998304,4.582486508,2.361778012,2.082825748,3
0.614259198,1.432921917,2.180119335,5.407807087,9.530431624,1.594786514,5
2.854477179,8.254631785,2.120020873,1.286482572,1.713660976,8.333814471,1
3.045795744,6.97187612,4.876553729,1.653179418,6.654801731,7.073342354,1
3.282120686,3.493107249,3.778325114,0.994292436,9.724826158,9.72635771,1
4.356073428,1.709637031,2.102923502,8.863813213,7.344931818,6.034677828,6
0.70897187,4.978178042,6.701321917,9.251138851,3.281857407,6.927795515,6
8.401482168,3.073372498,1.236647976,7.472117683,9.097860467,4.289138399,6
4.673920045,6.491326922,9.526516126,4.066320701,1.233992537,8.724474373,2
3.641100669,7.841953069,4.510859446,0.9039394,3.604145865,0.656974475,1
0.596623616,3.362404986,3.91342436,0.827471909,0.715643489,2.291680241,1
9.078986029,2.451344246,2.832036018,9.501976378,4.380280649,0.797078778,6
4.251066197,7.887661704,3.868267313,1.779168833,4.990534496,3.377045758,1
9.321282811,7.313393669,6.811208533,4.770840139,9.587808966,7.97480188,4
6.601911445,4.007772578,8.262265886,8.834639706,8.083663049,4.453959904,6
0.290650323,9.067574878,1.130523368,7.870179434,3.347847945,5.173250154,6
7.166614761,3.690678131,5.951214675,1.861130712,6.952632821,2.19344306,1
9.617090418,3.211870473,8.034091655,4.29895395,6.105741572,3.978066917,3
5.865065979,0.665557611,8.054537751,2.273094419,5.292720204,1.994014318,1
8.135234469,6.363089589,1.235963076,5.386167999,6.688106977,1.242023174,5
4.34398434,9.61899174,5.81772928,1.647462218,1.4373887,2.36136137,1
6.908871013,0.754121854,0.869834669,8.730252952,9.662940642,0.597505318,6
0.276937779,5.569508539,0.600601226,4.772357688,4.216873179,6.167221943,3
3.41078932,0.354253201,0.983361567,7.685585328,9.358442355,4.405178992,6
4.33216424,7.415653602,1.521590594,3.832241484,7.31962383,9.162814019,2
9.695633637,1.399467534,4.839561477,0.758408121,4.365663942,5.046013206,1
0.88334662,0.339401358,2.99660097,0.543872926,2.56389551,6.299257291,1
8.518021266,2.959781289,2.931637303,5.483321784,2.138224492,5.081365118,5
4.016540427,5.855371328,0.448128332,3.998046004,0.428030944,5.450842127,2
3.383485103,2.592793724,9.141580784,4.34818178,1.813212311,7.921598193,3
8.606520462,0.05408294,1.019277545,2.691028763,9.315956205,8.001706322,1
1.017559227,7.078889268,3.935487222,1.619801041,2.093977471,0.616565845,1
4.983065522,5.190475048,1.595242356,1.212173276,4.606129783,2.814322694,1
2.126492869,7.904772054,0.667145183,9.234630637,8.788946801,4.784727079,6
1.099331316,0.454622518,2.527302945,1.462024281,3.33275701,8.111635107,1
5.628634566,0.19532686,0.668112899,8.886655539,9.464842652,5.450363188,6
5.306290611,3.123398651,4.183841933,2.650105244,3.557138526,9.568336101,1
2.218573616,9.896537388,0.108680554,5.968314412,3.665686846,1.97143593,6
3.856526907,4.219514241,6.893227594,7.217599167,2.531043611,1.837337957,6
8.504863391,0.800551476,1.381965857,8.613630046,9.769789444,7.289312643,6
0.96538485,5.114298276,9.711203826,1.807423707,3.129390221,9.184969978,1
3.717614546,3.681231748,5.641232935,5.217341958,3.505538246,4.823771755,4
6.762531222,8.108129502,7.197317536,8.299622833,1.546523976,5.32529567,6
2.60059871,1.141663858,7.687050564,9.944158294,1.900262368,7.701821538,6
7.408868733,1.037831813,7.855093607,8.476077815,9.03879714,1.706265466,6
8.457020215,8.686482628,5.51463442,2.923151801,6.091509188,0.388604204,2
3.326166171,4.869598165,6.500726234,8.461165969,8.755398143,2.326614585,6
6.558462041,2.761750555,8.434398967,3.315507965,9.411177756,3.848444882,2
9.239523463,9.429805287,7.899365408,5.781719342,3.174975724,7.279379525,6
1.123452137,8.241939968,7.53786668,9.824243288,6.575110822,3.786406784,6
1.257273861,8.35881835,4.950652572,0.809879468,2.770039765,7.351441125,1
1.4940819,1.74955344,8.704791671,8.097740335,7.85846036,1.496695023,6
2.906550185,9.945401686,3.691799341,3.47470644,6.22582828,0.138045924,2
4.692189908,9.995370638,9.528883853,6.172131679,6.770790604,6.992699487,6
1.57391289,9.974634133,3.742586843,0.40291656,8.034655981,5.494486067,1
0.620714686,9.90003157,4.95153554,3.134993438,9.946273035,0.163102254,2
2.633838314,1.659156763,4.625550357,3.65022972,3.560194679,9.352496685,2
1.843047511,3.668120365,8.943961284,0.001811057,6.767882272,8.518464343,1
5.020810831,7.866594609,6.841482267,6.097397106,0.711577616,7.92807225,6
3.040909782,4.624799639,0.955297252,0.248995109,3.842985059,5.832288393,1
6.711579026,7.135413609,4.179090474,8.32558756,1.360508082,8.953972426,6
3.446779841,3.342907197,9.962083703,0.796030783,2.557528139,1.347808638,1
1.152169159,5.400191405,5.720581026,4.476797046,4.819769306,5.285864142,3
1.078730557,1.311258902,7.86422394,6.449449986,4.43937884,1.347768373,6
2.814236879,0.985148611,9.11072974,9.699503456,9.270953911,3.270017693,6
8.719917852,3.387986841,3.496175207,6.324053704,7.003730613,9.368322274,6
2.413860178,4.482435699,1.06475655,9.242667491,3.920310195,0.33968083,6
6.212984103,1.805076846,7.816986692,4.576908269,7.930834881,2.479786309,3
4.200078132,0.840216517,7.944536346,8.3976633,9.820408444,1.484348663,6
4.858520301,8.366355515,9.587563172,3.369064249,9.122773729,6.553879079,2
3.048529895,6.973610725,5.907682782,0.338782169,8.766238451,1.111727987,1
4.617816875,5.394614078,5.720658475,2.292609868,4.660888494,6.076009918,1
7.764456217,4.16775364,3.409404806,1.374881398,7.749479947,8.094307977,1
7.720908024,2.063893159,1.866786638,2.204728679,2.515106363,8.917004752,1
0.979378274,5.114029872,4.281150857,4.408679347,0.710367093,6.143063157,3
4.304342671,1.587854006,5.443580917,8.228128707,6.515890866,4.501230709,6
6.137000325,2.618332794,9.927555001,7.766974727,3.102145368,2.007714962,6
4.612417844,3.049238308,8.463239002,4.103030256,3.937847813,8.217944071,2
5.433329384,2.51111899,4.131883496,2.64912925,8.368881779,6.080934983,1
8.929948664,3.871291062,5.667780782,7.151832643,3.040813396,3.170917755,6
4.687529743,9.754197796,2.814832917,5.497544784,0.507753227,5.334501485,5
3.191183778,2.48845923,0.767577144,2.071117486,3.588750158,8.547676925,1
3.733857282,2.721437808,6.488131478,5.956299744,2.645179956,3.496227794,6
1.093500735,1.642369264,9.221409015,4.015622473,3.149174334,4.343990632,2
0.044261976,3.629867935,9.44712699,0.112936612,1.718060747,8.126530608,1
0.276724138,1.944919509,7.994798146,9.944337291,0.954268133,5.72970686,6
3.796542975,9.898706455,1.005028899,8.001545826,7.672215039,3.18350543,6
5.642270311,5.504411728,9.006071227,6.301039158,2.689530356,9.081721974,6
3.035077885,7.924272995,5.520725036,0.520218746,4.861213013,9.466873081,1
6.244503125,2.07986782,6.892324634,7.454558377,1.460453452,1.022053616,6
5.535097911,5.873875299,0.835708548,5.076352795,0.835993148,7.788420048,4
2.601122195,6.306037708,5.400432201,1.439035487,1.47061855,2.971308903,1
7.717189361,9.442501224,4.664185809,3.751392532,2.871256139,5.564202247,2
1.235646951,4.707149661,8.874841813,0.947033187,5.094768819,0.699712381,1
3.822418206,0.903871274,2.276093451,4.303831069,0.022370912,2.194453426,2
2.528676897,7.099198573,1.500460637,1.566309331,6.017409617,0.384567452,1
3.949788152,3.95921782,5.67736978,1.337429088,8.378605281,8.392666726,1
3.364930495,9.924813951,2.002881075,9.622128332,7.732785973,7.093988362,6
9.623558926,5.775137804,5.166399062,2.155858092,8.762190602,4.749728481,1
4.389091812,0.744812261,7.633774942,6.97112575,7.464409314,0.545677267,6
4.213202387,4.015242152,8.009304233,9.152619116,3.144521132,4.309065108,6
4.578099056,9.664190656,1.108183887,3.132539577,9.769969414,7.305073256,2
8.105276012,2.663173012,5.323508885,0.554081169,5.079003819,2.043418718,1
4.56016415,8.153538518,5.334633678,0.817579381,6.311790266,2.679082353,1
7.271585337,0.385223902,3.134218306,1.373355466,9.110683884,4.963223417,1
5.041059348,2.158888885,8.529331814,9.786202589,2.174519797,3.690761422,6
8.723936543,2.052958712,7.375944231,9.131146856,9.666901019,9.418634353,6
3.778854189,7.828446279,2.313692185,6.892093357,2.61273499,6.856523433,6
2.80833461,3.557105874,2.072493105,5.992797989,1.026235466,5.319587643,6
4.350101828,6.045572748,9.990315501,5.412828657,1.735913732,1.437966762,5
1.022477373,6.57939669,0.815659215,8.893167954,9.261881164,2.705700615,6
8.742828141,6.541873135,4.253491061,9.431649142,8.435151806,2.302563243,6
9.123826752,1.451442559,0.125015884,1.063232967,1.36428258,8.734663008,0
1.916460563,1.085365288,2.084029999,9.158446868,2.027261646,3.534416836,6
